Country Code,Series Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
MLT,GDP growth,19.6812701,-1.174697348,2.565263253,4.07406885,0.140268127,3.383593576,2.510142345,4.7747056,3.826359416,-1.133873468,5.543639385,0.467050856,4.117707299,5.473355695,7.633538112,9.608132811,3.381450026,11.07915223,6.034213807,5.861136493,-8.348798176,9.413538371
MLT,GDP,6705396316,6626628204,6796618662,7073517586,7083439476,7323114279,7506934872,7865368912,8166326195,8073730389,8521308887,8561107733,8913629091,9401503717,10119171086,11091434484,11466485798,12736875215,13505445498,14297018092,13103388907,14336881449
MLT,GDP per capita,27512.2468,26985.60739,27472.28614,28404.08738,28253.53183,29023.91645,29644.2561,30951.54851,31927.451,31328.35491,32903.07412,32916.98278,33965.60859,35325.18551,37270.07559,39887.70689,40303.46252,43559.31618,44602.757,45396.73229,40696.73837,44395.33046
AUT,GDP growth,3.375722147,1.267168189,1.651553922,0.941470921,2.735120222,2.244065325,3.454041836,3.727415301,1.460423676,-3.764578178,1.837093677,2.922797284,0.680445577,0.025504712,0.661272849,1.014501586,1.989437162,2.258572433,2.501595119,1.49121085,-6.734514076,4.483969206
AUT,GDP,3.11E+11,3.15E+11,3.20E+11,3.23E+11,3.32E+11,3.40E+11,3.51E+11,3.64E+11,3.70E+11,3.56E+11,3.62E+11,3.73E+11,3.76E+11,3.76E+11,3.78E+11,3.82E+11,3.90E+11,3.98E+11,4.08E+11,4.14E+11,3.87E+11,4.04E+11
AUT,GDP per capita,46469.86106,46878.91624,47419.27841,47633.114,48633.27182,49387.02786,50840.69446,52565.07397,53166.0542,51030.72468,51843.42833,53179.14746,53297.44479,52997.75382,52932.90011,52873.85865,53345.74153,54172.98679,55258.37103,55833.5599,51857.69232,53944.52558
BEL,GDP growth,3.716679384,1.099618888,1.706884585,1.037982549,3.571204343,2.321737054,2.552349944,3.676881136,0.446928735,-2.020743062,2.864292708,1.694513899,0.739217283,0.459242193,1.578533143,2.041459009,1.266686409,1.619580278,1.843899686,2.111531644,-5.680733655,6.244721946
BEL,GDP,3.66E+11,3.70E+11,3.76E+11,3.80E+11,3.94E+11,4.03E+11,4.13E+11,4.28E+11,4.30E+11,4.21E+11,4.33E+11,4.41E+11,4.44E+11,4.46E+11,4.53E+11,4.62E+11,4.68E+11,4.76E+11,4.85E+11,4.95E+11,4.67E+11,4.96E+11
BEL,GDP per capita,43024.13991,43347.88921,43890.59811,44160.91143,45540.46691,46342.18661,47212.57777,48590.40054,48423.51548,47064.79002,47972.55884,48154.87115,48210.92466,48204.5857,48748.62059,49456.39858,49829.92739,50442.27054,51139.06761,51937.42361,48752.50159,51601.88777
BGR,GDP growth,4.587225342,3.823703664,5.871930278,5.237154278,6.510426379,7.056347526,6.802589382,6.591380837,6.116017964,-3.271854279,1.541801443,2.10120575,0.754930386,-0.560493966,0.966869032,3.428054914,3.039825276,2.76217096,2.684576131,4.037592082,-4.387149834,4.177873584
