Name,Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Austria,AUT,2.35E+11,2.39E+11,2.52E+11,2.61E+11,2.76E+11,2.88E+11,3.11E+11,3.27E+11,3.44E+11,3.41E+11,3.51E+11,3.73E+11,3.92E+11,4.06E+11,4.17E+11,4.31E+11,4.60E+11,4.77E+11,5.04E+11,5.16E+11,4.97E+11
Belgium,BEL,2.85E+11,2.96E+11,3.13E+11,3.21E+11,3.34E+11,3.48E+11,3.72E+11,3.91E+11,4.06E+11,4.08E+11,4.34E+11,4.52E+11,4.70E+11,4.87E+11,5.04E+11,5.21E+11,5.51E+11,5.74E+11,6.00E+11,6.24E+11,6.13E+11
Bulgaria,BGR,52468510709,55735446319,61023649905,65444800368,71006719144,78821833750,86713356360,96666032170,1.07E+11,1.06E+11,1.11E+11,1.16E+11,1.19E+11,1.21E+11,1.27E+11,1.32E+11,1.43E+11,1.52E+11,1.62E+11,1.71E+11,1.70E+11
Croatia,HRV,47737566973,50115096815,54937795234,58879630628,63171130429,66534175729,75858107039,84020073216,90165667939,86747285745,85767708982,89956153249,91315015882,93970284955,94622359035,97949323816,1.05E+11,1.12E+11,1.18E+11,1.24E+11,1.16E+11
Cyprus,CYP,14774715455,16038618590,16716334244,17440262373,18887334890,20504199481,22540525468,25224255834,27398578346,27380168962,27722989190,28345889455,27503272838,26181475628,25643516530,26968662454,30417069643,32909236998,35289156565,37340983410,35203766492
Czech Republic,CZE,1.66E+11,1.80E+11,1.86E+11,1.99E+11,2.13E+11,2.26E+11,2.45E+11,2.71E+11,2.91E+11,2.90E+11,2.92E+11,3.04E+11,3.07E+11,3.24E+11,3.42E+11,3.58E+11,3.81E+11,4.11E+11,4.37E+11,4.57E+11,4.45E+11
Denmark,DNK,1.53E+11,1.58E+11,1.65E+11,1.66E+11,1.78E+11,1.85E+11,2.03E+11,2.13E+11,2.27E+11,2.23E+11,2.39E+11,2.47E+11,2.51E+11,2.62E+11,2.70E+11,2.79E+11,2.98E+11,3.19E+11,3.33E+11,3.41E+11,3.51E+11
Estonia,EST,13161402798,14317382939,16087733550,18001091047,19806500165,22536536811,26054463307,29756657511,30488783701,27328001238,28785763244,32598232995,34384867089,36198153224,38050116723,38378217196,41201006348,44556473263,47920817734,50223187687,50048531249
Finland,FIN,1.39E+11,1.44E+11,1.49E+11,1.51E+11,1.63E+11,1.68E+11,1.81E+11,2.00E+11,2.13E+11,2.03E+11,2.09E+11,2.20E+11,2.21E+11,2.26E+11,2.28E+11,2.33E+11,2.47E+11,2.62E+11,2.73E+11,2.78E+11,2.79E+11
France,FRA,1.59E+12,1.69E+12,1.76E+12,1.75E+12,1.82E+12,1.93E+12,2.07E+12,2.18E+12,2.26E+12,2.24E+12,2.33E+12,2.45E+12,2.47E+12,2.61E+12,2.66E+12,2.72E+12,2.86E+12,2.98E+12,3.13E+12,3.30E+12,3.17E+12
