Country Name,Country Code,Series Name,Series Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Sweden,SWE,GDP (current LCU),NY.GDP.MKTP.CN,2408151000000,2503731000000,2598336000000,2703551000000,2830194000000,2931085000000,3121668000000,3320278000000,3412253000000,3341167000000,3573581000000,3727905000000,3743086000000,3822671000000,3992730000000,4260470000000,4415031000000,4625094000000,4828306000000,5049619000000,4984804000000
Spain,ESP,GDP (current LCU),NY.GDP.MKTP.CN,647851000000,700993000000,749552000000,802266000000,859437000000,927357000000,1003823000000,1075539000000,1109541000000,1069323000000,1072709000000,1063763000000,1031099000000,1020348000000,1032158000000,1077590000000,1113840000000,1161867000000,1203259000000,1244375000000,1121948000000
Slovenia,SVN,GDP (current LCU),NY.GDP.MKTP.CN,18853122000,21147702000,23548615000,25613283000,27628189000,29113563000,31470341000,35073456000,37925698000,36254927000,36363909000,37058569000,36253272000,36454333000,37634292000,38852641000,40443217000,43011339000,45864249000,48396705000,46918046000
Slovakia,SVK,GDP (current LCU),NY.GDP.MKTP.CN,31661067000,34365528000,37329500000,41479498000,46175205000,50485664000,56361425000,63163352000,68590534000,64095519000,68492145000,71477095000,73360844000,74217289000,76092675000,79888147000,81014252000,84442865000,89430026000,94048033000,92079253000
Romania,ROU,GDP (current LCU),NY.GDP.MKTP.CN,80873100000,117391400000,152271500000,191917600000,244688300000,286861900000,342762600000,425691100000,539834600000,530894400000,528514500000,558889900000,591799100000,634967800000,669703900000,711929900000,763652500000,857895700000,951728500000,1058973200000,1055548800000
Portugal,PRT,GDP (current LCU),NY.GDP.MKTP.CN,128414445000,135775009000,142554263000,146067858000,152248388000,158552704000,166260469000,175483401000,179102781000,175416437000,179610779000,176096171000,168295569000,170492269000,173053691000,179713159000,186489811000,195947210000,205184124000,214374620000,200087571000
Poland,POL,GDP (current LCU),NY.GDP.MKTP.CN,748483000000,781548000000,812214000000,847152000000,933091000000,990530000000,1069431000000,1187508000000,1285571000000,1372025000000,1446844000000,1565251000000,1623442000000,1646724000000,1711244000000,1801112000000,1863487000000,1989835000000,2121555000000,2293199000000,2326656000000
Netherlands,NLD,GDP (current LCU),NY.GDP.MKTP.CN,452007000000,481881000000,501137000000,512810000000,529286000000,550883000000,584546000000,619170000000,647198000000,624842000000,639187000000,650359000000,652966000000,660463000000,671560000000,690008000000,708337000000,738146000000,773987000000,813055000000,800095000000
Malta,MLT,GDP (current LCU),NY.GDP.MKTP.CN,4153347600,4285837200,4515597900,4787522700,4895548700,5159253700,5403002100,5790276400,6206020700,6259644900,6815803600,6924597600,7364460000,7944345700,8751102000,9996709900,10589222895.9514,11703493262.1437,12587438960.0701,13592197592.3167,12823785223.9573
Luxembourg,LUX,GDP (current LCU),NY.GDP.MKTP.CN,22986027000,23879889000,25011094000,26227287000,28189387000,30280986000,34175045000,37641903000,40009559000,39050743000,42402715000,44323466000,46526238000,49094489000,51791322000,54142304000,56208068000,58168784000,60362206000,62704166000,64221137000
Lithuania,LTU,GDP (current LCU),NY.GDP.MKTP.CN,13351454000,14177014000,15182389000,16649996000,18219669000,20979923000,24053291000,29011219000,32660067000,26897015000,28033833000,31317168000,33410163000,35039541000,36581311000,37345698000,38889862000,42276297000,45514803000,48859870000,49507223000
